run,regime,specificity,polarity,n,recall_at_1_pct,retrieval_recall_30_pct,adjudication_recall_pct,end_to_end_recall_pct,false_alert_pct,retrieval_misses,adjudication_misses,rank1_overrides,multi_match,exact_set_pct,candidate_precision_pct,ms_p50,ms_p95,ms_p99,think_mean,think_median,out_mean,in_mean,tot_mean
3.7-flash/low r2,rus_ukr,3-2,positive,156,94.23,99.36,100.0,99.36,,1,0,8,2,98.08,98.73,1852,4508,8038,103,92,86,809,997
3.7-flash/low r2,rus_ukr,3-3,positive,156,97.44,100.0,100.0,100.0,,0,0,4,0,100.0,100.0,1780,4216,9007,107,109,90,825,1022
3.7-flash/low r2,ns,3-2,negative,150,,,,,0.0,,,,0,,,1623,4250,4819,90,78,44,813,947
3.7-flash/low r2,ns,3-3,negative,150,,,,,0.0,,,,0,,,1591,4944,9206,80,67,44,828,952
3.7-flash/low r2,ns_similar_nb,3-2,negative,148,,,,,0.0,,,,0,,,1686,5248,11667,113,98,48,808,969
3.7-flash/low r2,ns_similar_nb,3-3,negative,150,,,,,0.0,,,,0,,,1699,4547,6316,106,96,50,821,977
3.7-flash/low r2,ns_similar_part,3-2,negative,146,,,,,0.0,,,,0,,,1793,4093,6046,156,138,57,808,1021
3.7-flash/low r2,ns_similar_part,3-3,negative,150,,,,,0.0,,,,0,,,1817,4742,9538,134,126,59,818,1011
3.7-flash/low r3,lat,3-2,positive,150,99.33,100.0,100.0,100.0,,0,0,1,2,98.67,98.68,1945,6334,12024,63,66,73,807,943
3.7-flash/low r3,lat,3-3,positive,150,100.0,100.0,100.0,100.0,,0,0,0,0,100.0,100.0,2355,6656,10278,51,58,77,817,946
3.7-flash/low r3,icao,3-2,positive,151,97.35,100.0,100.0,100.0,,0,0,4,2,98.68,98.69,2095,5405,16076,78,77,78,806,962
3.7-flash/low r3,icao,3-3,positive,151,99.34,100.0,100.0,100.0,,0,0,1,0,100.0,100.0,2150,6328,10555,73,76,85,817,974
3.7-flash/low r3,french,3-2,positive,151,94.7,100.0,100.0,100.0,,0,0,8,2,98.68,98.69,2104,6949,11959,88,87,83,805,976
3.7-flash/low r3,french,3-3,positive,151,97.35,100.0,100.0,100.0,,0,0,4,0,100.0,100.0,2291,6016,11975,92,93,88,815,995
3.7-flash/low r3,rus_ukr,3-2,positive,156,94.23,99.36,100.0,99.36,,1,0,8,2,98.08,98.73,2472,5730,13138,105,94,84,809,998
3.7-flash/low r3,rus_ukr,3-3,positive,156,97.44,100.0,100.0,100.0,,0,0,4,0,100.0,100.0,2101,5796,8655,110,105,90,825,1025
3.7-flash/low r3,ns,3-2,negative,150,,,,,0.0,,,,0,,,1899,5179,6900,88,76,42,813,942
3.7-flash/low r3,ns,3-3,negative,150,,,,,0.0,,,,0,,,1926,4688,14209,89,70,46,828,963
3.7-flash/low r3,ns_similar_nb,3-2,negative,148,,,,,0.0,,,,0,,,1877,4349,6644,115,104,48,808,971
3.7-flash/low r3,ns_similar_nb,3-3,negative,150,,,,,0.0,,,,0,,,1828,4227,8270,100,96,52,821,973
3.7-flash/low r3,ns_similar_part,3-2,negative,146,,,,,0.0,,,,0,,,1973,3632,4361,146,140,59,808,1013
3.7-flash/low r3,ns_similar_part,3-3,negative,150,,,,,0.0,,,,0,,,1929,4285,7605,129,128,61,818,1008
