regime,condition,model,dimension,negative_set,n_pos,n_neg,auc,auc_lo,auc_hi
french,3-2,openai,3072,ns_similar_nb,151,150,0.6733,0.6136,0.7352
french,3-2,openai,1536,ns,151,150,0.8678,0.8247,0.9042
french,3-2,openai,1536,ns_similar,151,150,0.486,0.4217,0.5538
french,3-2,openai,1536,ns_similar_nb,151,150,0.6647,0.5988,0.729
french,3-2,openai,768,ns,151,150,0.8729,0.8325,0.9082
french,3-2,openai,768,ns_similar,151,150,0.4999,0.438,0.565
french,3-2,openai,768,ns_similar_nb,151,150,0.6783,0.6112,0.7403
french,3-2,gemini,3072,ns,151,150,0.9922,0.9853,0.9973
french,3-2,gemini,3072,ns_similar,151,150,0.8511,0.804,0.897
french,3-2,gemini,3072,ns_similar_nb,151,150,0.9422,0.9131,0.9682
french,3-2,gemini,1536,ns,151,150,0.9925,0.9858,0.9976
french,3-2,gemini,1536,ns_similar,151,150,0.8509,0.8051,0.8985
french,3-2,gemini,1536,ns_similar_nb,151,150,0.9426,0.9138,0.968
french,3-2,gemini,768,ns,151,150,0.9923,0.9848,0.997
french,3-2,gemini,768,ns_similar,151,150,0.8495,0.7984,0.8962
french,3-2,gemini,768,ns_similar_nb,151,150,0.941,0.9126,0.9666
french,3-3,openai,3072,ns,151,150,0.8659,0.8249,0.9086
french,3-3,openai,3072,ns_similar,151,150,0.5289,0.4679,0.5933
french,3-3,openai,3072,ns_similar_nb,151,150,0.65,0.5855,0.7089
french,3-3,openai,1536,ns,151,150,0.8627,0.8129,0.9028
french,3-3,openai,1536,ns_similar,151,150,0.5227,0.4528,0.5839
french,3-3,openai,1536,ns_similar_nb,151,150,0.6419,0.5765,0.7074
french,3-3,openai,768,ns,151,150,0.8574,0.8136,0.8967
french,3-3,openai,768,ns_similar,151,150,0.5211,0.4544,0.5865
french,3-3,openai,768,ns_similar_nb,151,150,0.6458,0.5792,0.7067
french,3-3,gemini,3072,ns,151,150,0.9976,0.9947,0.9995
french,3-3,gemini,3072,ns_similar,151,150,0.9242,0.8892,0.9557
french,3-3,gemini,3072,ns_similar_nb,151,150,0.9694,0.9493,0.9871
french,3-3,gemini,1536,ns,151,150,0.9976,0.9947,0.9995
french,3-3,gemini,1536,ns_similar,151,150,0.9258,0.8912,0.9574
french,3-3,gemini,1536,ns_similar_nb,151,150,0.9695,0.9488,0.9875
french,3-3,gemini,768,ns,151,150,0.9978,0.9951,0.9996
french,3-3,gemini,768,ns_similar,151,150,0.9229,0.8837,0.9558
french,3-3,gemini,768,ns_similar_nb,151,150,0.9683,0.948,0.988
rus_ukr,3-2,openai,3072,ns,156,150,0.795,0.7454,0.8429
rus_ukr,3-2,openai,3072,ns_similar,156,150,0.3181,0.251,0.3846
rus_ukr,3-2,openai,3072,ns_similar_nb,156,150,0.5057,0.4401,0.5711
rus_ukr,3-2,openai,1536,ns,156,150,0.7819,0.7268,0.8314
rus_ukr,3-2,openai,1536,ns_similar,156,150,0.3077,0.2503,0.3696
rus_ukr,3-2,openai,1536,ns_similar_nb,156,150,0.4934,0.4325,0.5599
rus_ukr,3-2,openai,768,ns,156,150,0.8076,0.7563,0.8552
rus_ukr,3-2,openai,768,ns_similar,156,150,0.344,0.282,0.4039
rus_ukr,3-2,openai,768,ns_similar_nb,156,150,0.5434,0.4799,0.6086
rus_ukr,3-2,gemini,3072,ns,156,150,0.9894,0.9807,0.9963
rus_ukr,3-2,gemini,3072,ns_similar,156,150,0.7453,0.6866,0.8
rus_ukr,3-2,gemini,3072,ns_similar_nb,156,150,0.9116,0.8797,0.9416
rus_ukr,3-2,gemini,1536,ns,156,150,0.9896,0.9805,0.9965
rus_ukr,3-2,gemini,1536,ns_similar,156,150,0.7443,0.6897,0.8028
rus_ukr,3-2,gemini,1536,ns_similar_nb,156,150,0.9106,0.8776,0.9425
rus_ukr,3-2,gemini,768,ns,156,150,0.9894,0.9801,0.9958
rus_ukr,3-2,gemini,768,ns_similar,156,150,0.7479,0.6896,0.8009
rus_ukr,3-2,gemini,768,ns_similar_nb,156,150,0.9085,0.8715,0.939
rus_ukr,3-3,openai,3072,ns,156,150,0.7765,0.7209,0.8284
rus_ukr,3-3,openai,3072,ns_similar,156,150,0.2932,0.2354,0.3527
rus_ukr,3-3,openai,3072,ns_similar_nb,156,150,0.4346,0.3658,0.5027
rus_ukr,3-3,openai,1536,ns,156,150,0.7513,0.6934,0.8052
rus_ukr,3-3,openai,1536,ns_similar,156,150,0.2815,0.2287,0.3416
rus_ukr,3-3,openai,1536,ns_similar_nb,156,150,0.4095,0.3451,0.4785
rus_ukr,3-3,openai,768,ns,156,150,0.7694,0.7155,0.8214
rus_ukr,3-3,openai,768,ns_similar,156,150,0.3116,0.2548,0.3783
rus_ukr,3-3,openai,768,ns_similar_nb,156,150,0.4485,0.3873,0.5212
rus_ukr,3-3,gemini,3072,ns,156,150,0.9941,0.9879,0.9988
rus_ukr,3-3,gemini,3072,ns_similar,156,150,0.8756,0.8312,0.9167
rus_ukr,3-3,gemini,3072,ns_similar_nb,156,150,0.9522,0.9236,0.9765
rus_ukr,3-3,gemini,1536,ns,156,150,0.9943,0.9882,0.9987
rus_ukr,3-3,gemini,1536,ns_similar,156,150,0.8765,0.8357,0.9149
rus_ukr,3-3,gemini,1536,ns_similar_nb,156,150,0.9517,0.9218,0.975
rus_ukr,3-3,gemini,768,ns,156,150,0.9941,0.9881,0.9985
rus_ukr,3-3,gemini,768,ns_similar,156,150,0.8729,0.828,0.9151
rus_ukr,3-3,gemini,768,ns_similar_nb,156,150,0.9494,0.9215,0.9749
