regime,condition,model,dimension,queries,entities,recall1_query,recall1_query_lo,recall1_query_hi,recall1_entity,recall1_entity_lo,recall1_entity_hi,recall5_query,recall5_query_lo,recall5_query_hi,recall5_entity,recall5_entity_lo,recall5_entity_hi,mrr_query,mrr_entity,mrr_entity_lo,mrr_entity_hi
french,3-2,gemini,1536,151,150,0.947,0.8989,0.9729,0.9467,0.9067,0.98,0.9868,0.953,0.9964,0.9867,0.9667,1.0,0.9647,0.9644,0.9378,0.9878
french,3-2,gemini,768,151,150,0.9404,0.8906,0.9683,0.94,0.9,0.9733,0.9868,0.953,0.9964,0.9867,0.9667,1.0,0.9597,0.9594,0.9306,0.9833
french,3-3,openai,3072,151,150,0.8477,0.7818,0.8963,0.85,0.7933,0.9067,0.9536,0.9074,0.9774,0.9533,0.92,0.98,0.8908,0.8918,0.8484,0.9337
french,3-3,openai,1536,151,150,0.8477,0.7818,0.8963,0.85,0.79,0.9033,0.9338,0.8824,0.9636,0.9333,0.8933,0.9733,0.8847,0.8856,0.8383,0.9294
french,3-3,openai,768,151,150,0.8344,0.767,0.8853,0.8367,0.78,0.8967,0.9272,0.8743,0.9588,0.9267,0.88,0.9667,0.8733,0.8741,0.826,0.9189
french,3-3,gemini,3072,151,150,0.9735,0.9339,0.9897,0.9733,0.9467,0.9933,0.9868,0.953,0.9964,0.9867,0.9667,1.0,0.9801,0.98,0.9567,0.9967
french,3-3,gemini,1536,151,150,0.9735,0.9339,0.9897,0.9733,0.94,0.9933,0.9868,0.953,0.9964,0.9867,0.9667,1.0,0.9801,0.98,0.9567,0.9967
french,3-3,gemini,768,151,150,0.9735,0.9339,0.9897,0.9733,0.9467,0.9933,0.9868,0.953,0.9964,0.9867,0.9667,1.0,0.979,0.9789,0.9567,0.9967
rus_ukr,3-2,openai,3072,156,150,0.5962,0.5177,0.6699,0.5944,0.5111,0.6711,0.7308,0.6562,0.7942,0.7311,0.66,0.8,0.6519,0.6516,0.5802,0.7218
rus_ukr,3-2,openai,1536,156,150,0.5513,0.4729,0.6272,0.5522,0.4733,0.6289,0.6987,0.6227,0.7652,0.7011,0.6311,0.7722,0.614,0.6152,0.5422,0.6851
rus_ukr,3-2,openai,768,156,150,0.5128,0.435,0.59,0.52,0.44,0.6,0.6859,0.6093,0.7535,0.6878,0.6156,0.76,0.5859,0.5904,0.52,0.6652
rus_ukr,3-2,gemini,3072,156,150,0.9423,0.894,0.9694,0.94,0.9,0.9733,0.9872,0.9545,0.9965,0.9867,0.9667,1.0,0.9594,0.9578,0.9272,0.9833
rus_ukr,3-2,gemini,1536,156,150,0.9295,0.8782,0.9602,0.9267,0.88,0.9667,0.9872,0.9545,0.9965,0.9867,0.9667,1.0,0.9527,0.9508,0.9192,0.9778
rus_ukr,3-2,gemini,768,156,150,0.9423,0.894,0.9694,0.94,0.9,0.9733,0.9808,0.945,0.9934,0.98,0.9533,1.0,0.9573,0.9556,0.9239,0.9817
rus_ukr,3-3,openai,3072,156,150,0.6538,0.5763,0.724,0.6622,0.5822,0.7444,0.7949,0.7248,0.8508,0.7944,0.7311,0.8533,0.7104,0.7156,0.6445,0.7794
rus_ukr,3-3,openai,1536,156,150,0.6474,0.5697,0.718,0.66,0.5867,0.7333,0.7885,0.7178,0.8452,0.7911,0.7233,0.85,0.7027,0.712,0.6457,0.777
rus_ukr,3-3,openai,768,156,150,0.6218,0.5436,0.6941,0.6333,0.5533,0.7133,0.7628,0.6903,0.8227,0.7644,0.6967,0.8311,0.6708,0.6798,0.6102,0.749
rus_ukr,3-3,gemini,3072,156,150,0.9744,0.9359,0.99,0.9733,0.9467,0.9933,0.9936,0.9646,0.9989,0.9933,0.98,1.0,0.984,0.9833,0.9633,0.9967
rus_ukr,3-3,gemini,1536,156,150,0.9808,0.945,0.9934,0.98,0.9533,1.0,0.9936,0.9646,0.9989,0.9933,0.98,1.0,0.9872,0.9867,0.97,1.0
rus_ukr,3-3,gemini,768,156,150,0.9679,0.9272,0.9862,0.9667,0.9333,0.9933,0.9936,0.9646,0.9989,0.9933,0.98,1.0,0.9808,0.98,0.96,0.9967
