regime,dataset,query_set,queries,dimension,model,recall_at_1,recall_at_5,mrr,mean_top1_score,median_top1_score,p95_top1_score,mean_gap_r1_r2,median_duration_ms
non_sanctioned,ns_similar_nb,3-3,150,3072,openai,,,,0.6444,0.6381,0.7565,0.0279,207.8
sanctioned,french,3-2,151,768,gemini,0.9404,0.9868,0.9597,0.9558,0.9587,0.9799,0.0355,263.2
sanctioned,french,3-2,151,1536,gemini,0.947,0.9868,0.9647,0.954,0.9562,0.9784,0.0365,263.6
sanctioned,french,3-2,151,3072,gemini,0.947,0.9868,0.9647,0.9583,0.9602,0.9804,0.033,267.2
sanctioned,french,3-2,151,768,openai,0.7815,0.9139,0.8383,0.7061,0.7085,0.7905,0.074,173.2
sanctioned,french,3-2,151,1536,openai,0.8146,0.9139,0.8611,0.6935,0.7026,0.7872,0.0799,158.3
sanctioned,french,3-2,151,3072,openai,0.8411,0.9272,0.8766,0.682,0.6924,0.7781,0.086,170.0
sanctioned,french,3-3,151,768,gemini,0.9735,0.9868,0.979,0.962,0.9633,0.984,0.0458,254.7
sanctioned,french,3-3,151,1536,gemini,0.9735,0.9868,0.9801,0.9604,0.961,0.9828,0.0475,260.0
sanctioned,french,3-3,151,3072,gemini,0.9735,0.9868,0.9801,0.964,0.9645,0.9844,0.043,277.9
sanctioned,french,3-3,151,768,openai,0.8344,0.9272,0.8733,0.7028,0.7029,0.816,0.0878,170.3
sanctioned,french,3-3,151,1536,openai,0.8477,0.9338,0.8847,0.6894,0.6903,0.8002,0.0927,171.2
sanctioned,french,3-3,151,3072,openai,0.8477,0.9536,0.8908,0.6788,0.6786,0.7944,0.0991,174.2
sanctioned,icao,3-2,151,768,gemini,0.9735,0.9868,0.9801,0.9679,0.9708,0.9821,0.043,246.5
sanctioned,icao,3-2,151,1536,gemini,0.9735,0.9868,0.9801,0.9665,0.9693,0.9814,0.0442,265.3
sanctioned,icao,3-2,151,3072,gemini,0.9735,0.9868,0.9801,0.9696,0.9722,0.9831,0.04,270.1
sanctioned,icao,3-2,151,768,openai,0.9007,0.9603,0.9283,0.7397,0.7387,0.8223,0.0943,162.7
sanctioned,icao,3-2,151,1536,openai,0.9139,0.9735,0.9395,0.73,0.7312,0.8134,0.1015,168.8
sanctioned,icao,3-2,151,3072,openai,0.9205,0.9735,0.9459,0.7202,0.7193,0.8021,0.1076,199.4
sanctioned,icao,3-3,151,768,gemini,0.9934,0.9934,0.9934,0.9767,0.9798,0.9907,0.0546,252.7
sanctioned,icao,3-3,151,1536,gemini,0.9934,0.9934,0.9934,0.9756,0.9785,0.99,0.0566,261.4
sanctioned,icao,3-3,151,3072,gemini,0.9934,0.9934,0.9934,0.9778,0.9803,0.9908,0.0513,275.0
sanctioned,icao,3-3,151,768,openai,0.947,0.9801,0.9636,0.7528,0.759,0.8399,0.1156,172.5
sanctioned,icao,3-3,151,1536,openai,0.9603,0.9735,0.9669,0.7403,0.744,0.8323,0.1225,163.3
sanctioned,icao,3-3,151,3072,openai,0.9735,0.9801,0.9768,0.7324,0.7358,0.8209,0.1298,194.1
sanctioned,lat,3-2,150,768,gemini,0.9933,1.0,0.9967,0.9811,0.9826,0.9883,0.0512,566.1
sanctioned,lat,3-2,150,1536,gemini,0.9933,1.0,0.9967,0.9803,0.9817,0.9876,0.053,268.5
sanctioned,lat,3-2,150,3072,gemini,0.9933,1.0,0.9967,0.9822,0.9834,0.9888,0.048,288.0
sanctioned,lat,3-2,150,768,openai,0.9933,1.0,0.9967,0.7942,0.7972,0.862,0.1117,169.1
sanctioned,lat,3-2,150,1536,openai,0.9867,0.9933,0.99,0.7893,0.7916,0.8545,0.119,168.1
sanctioned,lat,3-2,150,3072,openai,0.9933,1.0,0.9967,0.7833,0.785,0.8463,0.1274,262.9
sanctioned,lat,3-3,150,768,gemini,1.0,1.0,1.0,0.9911,0.9919,0.995,0.0649,262.1
sanctioned,lat,3-3,150,1536,gemini,1.0,1.0,1.0,0.9907,0.9914,0.9947,0.0675,272.6
sanctioned,lat,3-3,150,3072,gemini,1.0,1.0,1.0,0.9916,0.9922,0.9952,0.0611,296.3
sanctioned,lat,3-3,150,768,openai,1.0,1.0,1.0,0.8103,0.8133,0.8747,0.1424,166.7
sanctioned,lat,3-3,150,1536,openai,1.0,1.0,1.0,0.8035,0.8095,0.8669,0.1521,164.1
sanctioned,lat,3-3,150,3072,openai,1.0,1.0,1.0,0.7983,0.8066,0.8613,0.1609,241.3
sanctioned,lat_partial,partial,9,768,gemini,1.0,1.0,1.0,0.988,0.9876,0.9919,0.0496,310.8
sanctioned,lat_partial,partial,9,3072,gemini,1.0,1.0,1.0,0.9886,0.9883,0.9922,0.0463,317.7
sanctioned,lat_partial,partial,9,768,openai,1.0,1.0,1.0,0.8116,0.808,0.8648,0.1337,205.7
sanctioned,lat_partial,partial,9,3072,openai,1.0,1.0,1.0,0.8005,0.7997,0.8467,0.1489,232.9
sanctioned,rus_ukr,3-2,156,768,gemini,0.9423,0.9808,0.9573,0.947,0.9463,0.9733,0.032,255.3
sanctioned,rus_ukr,3-2,156,1536,gemini,0.9295,0.9872,0.9527,0.9449,0.9442,0.9712,0.0327,266.3
sanctioned,rus_ukr,3-2,156,3072,gemini,0.9423,0.9872,0.9594,0.9501,0.9498,0.9741,0.0297,270.8
sanctioned,rus_ukr,3-2,156,768,openai,0.5128,0.6859,0.5859,0.6806,0.6703,0.7924,0.0462,173.8
sanctioned,rus_ukr,3-2,156,1536,openai,0.5513,0.6987,0.614,0.6622,0.6488,0.7839,0.0486,172.1
sanctioned,rus_ukr,3-2,156,3072,openai,0.5962,0.7308,0.6519,0.651,0.6372,0.7704,0.052,195.6
sanctioned,rus_ukr,3-3,156,768,gemini,0.9679,0.9936,0.9808,0.9523,0.9515,0.9796,0.0405,258.9
sanctioned,rus_ukr,3-3,156,1536,gemini,0.9808,0.9936,0.9872,0.9504,0.9496,0.9788,0.0418,265.4
sanctioned,rus_ukr,3-3,156,3072,gemini,0.9744,0.9936,0.984,0.9551,0.9545,0.9809,0.0379,271.5
sanctioned,rus_ukr,3-3,156,768,openai,0.6218,0.7628,0.6708,0.6647,0.6524,0.8046,0.0464,159.6
sanctioned,rus_ukr,3-3,156,1536,openai,0.6474,0.7885,0.7027,0.6435,0.6293,0.7924,0.0525,172.4
sanctioned,rus_ukr,3-3,156,3072,openai,0.6538,0.7949,0.7104,0.634,0.6246,0.7793,0.0554,202.4
