model,dimension,query_set,positive_set,negative_set,n_pos,n_neg,auc,thr_at_fpr1pct,recall_at_fpr1pct,thr_at_recall99pct,fpr_at_recall99pct,youden_thr,youden_tpr,youden_fpr
gemini,1536,3-3,icao,ns,151,150,0.9998,0.9329,0.9934,0.9329,0.0067,0.937,0.9868,0.0
gemini,1536,3-3,icao,ns_similar,151,150,0.9779,0.9818,0.3775,0.9329,0.2867,0.9479,0.9536,0.0333
gemini,1536,3-3,icao,ns_similar_nb,151,150,0.9924,0.9669,0.8278,0.9329,0.0667,0.9397,0.9801,0.02
gemini,1536,3-3,lat,ns,150,150,1.0,0.9365,1.0,0.9779,0.0,0.9746,1.0,0.0
gemini,1536,3-3,lat,ns_similar,150,150,0.9995,0.9818,0.9733,0.9779,0.02,0.9746,1.0,0.02
gemini,1536,3-3,lat,ns_similar_nb,150,150,0.9999,0.9746,1.0,0.9779,0.0067,0.9746,1.0,0.0067
gemini,1536,3-3,rus_ukr,ns,156,150,0.9943,0.9277,0.9359,0.9013,0.1267,0.922,0.9551,0.02
gemini,1536,3-3,rus_ukr,ns_similar,156,150,0.8765,0.9817,0.0321,0.9013,0.9933,0.9391,0.8013,0.12
gemini,1536,3-3,rus_ukr,ns_similar_nb,156,150,0.9517,0.967,0.1538,0.9013,0.68,0.9349,0.859,0.0333
gemini,3072,3-2,french,ns,151,150,0.9922,0.9371,0.9139,0.9117,0.18,0.9325,0.9338,0.02
gemini,3072,3-2,french,ns_similar,151,150,0.8511,1.9874,0.0,0.9117,0.9867,0.9465,0.8212,0.16
gemini,3072,3-2,french,ns_similar_nb,151,150,0.9422,0.9654,0.3642,0.9117,0.68,0.9407,0.8808,0.08
gemini,3072,3-2,icao,ns,151,150,0.9994,0.9386,0.9801,0.9327,0.02,0.9325,1.0,0.02
gemini,3072,3-2,icao,ns_similar,151,150,0.9475,0.9879,0.0066,0.9327,0.68,0.9575,0.9139,0.0533
gemini,3072,3-2,icao,ns_similar_nb,151,150,0.9831,0.9659,0.7219,0.9327,0.2333,0.951,0.9338,0.0267
gemini,3072,3-2,lat,ns,150,150,1.0,0.9453,1.0,0.9616,0.0,0.9585,1.0,0.0
gemini,3072,3-2,lat,ns_similar,150,150,0.986,0.9875,0.1333,0.9616,0.04,0.9585,1.0,0.0467
gemini,3072,3-2,lat,ns_similar_nb,150,150,0.9964,0.9661,0.98,0.9616,0.02,0.9585,1.0,0.02
gemini,3072,3-2,rus_ukr,ns,156,150,0.9894,0.9363,0.8141,0.9156,0.14,0.9312,0.9167,0.02
gemini,3072,3-2,rus_ukr,ns_similar,156,150,0.7453,1.9874,0.0,0.9156,0.98,0.9445,0.6218,0.2
gemini,3072,3-2,rus_ukr,ns_similar_nb,156,150,0.9116,0.9653,0.1667,0.9156,0.6067,0.9377,0.8013,0.12
gemini,3072,3-3,french,ns,151,150,0.9976,0.9363,0.9536,0.9193,0.08,0.9327,0.9669,0.0133
gemini,3072,3-3,french,ns_similar,151,150,0.9242,0.9835,0.0795,0.9193,0.94,0.9514,0.8278,0.04
gemini,3072,3-3,french,ns_similar_nb,151,150,0.9694,0.9699,0.3974,0.9193,0.5333,0.9411,0.9205,0.0333
gemini,3072,3-3,icao,ns,151,150,0.9998,0.9385,0.9934,0.9385,0.0067,0.943,0.9868,0.0
gemini,3072,3-3,icao,ns_similar,151,150,0.9773,0.9834,0.3775,0.9385,0.3,0.9525,0.9536,0.0333
gemini,3072,3-3,icao,ns_similar_nb,151,150,0.9924,0.9697,0.8344,0.9385,0.08,0.9449,0.9801,0.02
gemini,3072,3-3,lat,ns,150,150,1.0,0.9421,1.0,0.9797,0.0,0.977,1.0,0.0
gemini,3072,3-3,lat,ns_similar,150,150,0.9995,0.9836,0.9733,0.9797,0.02,0.977,1.0,0.02
gemini,3072,3-3,lat,ns_similar_nb,150,150,0.9999,0.977,1.0,0.9797,0.0067,0.977,1.0,0.0067
gemini,3072,3-3,rus_ukr,ns,156,150,0.9941,0.9354,0.9295,0.9099,0.1333,0.9276,0.9615,0.0267
gemini,3072,3-3,rus_ukr,ns_similar,156,150,0.8756,0.9835,0.0256,0.9099,0.9933,0.9458,0.7885,0.1133
gemini,3072,3-3,rus_ukr,ns_similar_nb,156,150,0.9522,0.9696,0.1731,0.9099,0.6867,0.939,0.891,0.06
openai,768,3-2,french,ns,151,150,0.8729,0.7135,0.4901,0.56,0.8467,0.675,0.6954,0.1067
openai,768,3-2,french,ns_similar,151,150,0.4999,0.8708,0.0,0.56,0.9933,0.7447,0.3113,0.2267
openai,768,3-2,french,ns_similar_nb,151,150,0.6783,0.8034,0.0464,0.56,0.9533,0.7219,0.457,0.16
openai,768,3-2,icao,ns,151,150,0.9513,0.7132,0.702,0.565,0.8333,0.684,0.8278,0.06
openai,768,3-2,icao,ns_similar,151,150,0.6592,0.8552,0.0066,0.565,0.9933,0.7654,0.3907,0.12
openai,768,3-2,icao,ns_similar_nb,151,150,0.8173,0.8027,0.1523,0.565,0.9533,0.7132,0.702,0.1933
openai,768,3-2,lat,ns,150,150,0.996,0.7144,0.96,0.6839,0.06,0.7104,0.9667,0.0133
openai,768,3-2,lat,ns_similar,150,150,0.8863,0.8551,0.0667,0.6839,0.6667,0.7624,0.82,0.1467
openai,768,3-2,lat,ns_similar_nb,150,150,0.9554,0.8014,0.46,0.6839,0.3733,0.7465,0.8533,0.06
openai,768,3-2,rus_ukr,ns,156,150,0.8076,0.7126,0.2372,0.5548,0.86,0.6442,0.8013,0.2933
openai,768,3-2,rus_ukr,ns_similar,156,150,0.344,0.8708,0.0,0.5548,0.9933,0.7861,0.0769,0.0533
openai,768,3-2,rus_ukr,ns_similar_nb,156,150,0.5434,0.8023,0.0449,0.5548,0.9533,0.6421,0.8077,0.6867
openai,768,3-3,french,ns,151,150,0.8574,0.7092,0.4702,0.5187,0.9933,0.6505,0.7616,0.1667
openai,768,3-3,french,ns_similar,151,150,0.5211,0.833,0.0199,0.5187,1.0,0.759,0.2715,0.1
openai,768,3-3,french,ns_similar_nb,151,150,0.6458,0.8059,0.0861,0.5187,1.0,0.6994,0.543,0.24
openai,768,3-3,icao,ns,151,150,0.9588,0.7113,0.7616,0.566,0.8533,0.6755,0.894,0.06
openai,768,3-3,icao,ns_similar,151,150,0.7532,0.8337,0.0728,0.566,0.9933,0.7339,0.6887,0.2467
openai,768,3-3,icao,ns_similar_nb,151,150,0.8447,0.8061,0.2185,0.566,0.9933,0.7233,0.7152,0.12
openai,768,3-3,lat,ns,150,150,0.9967,0.7097,0.96,0.6708,0.1,0.7031,0.9733,0.0133
openai,768,3-3,lat,ns_similar,150,150,0.934,0.832,0.38,0.6708,0.6867,0.7479,0.9333,0.1667
openai,768,3-3,lat,ns_similar_nb,150,150,0.9622,0.806,0.5533,0.6708,0.44,0.7507,0.92,0.08
openai,768,3-3,rus_ukr,ns,156,150,0.7694,0.711,0.1923,0.5653,0.8533,0.6155,0.8205,0.4133
openai,768,3-3,rus_ukr,ns_similar,156,150,0.3116,0.8367,0.0128,0.5653,0.9933,0.8012,0.0641,0.0333
openai,768,3-3,rus_ukr,ns_similar_nb,156,150,0.4485,0.8073,0.0513,0.5653,0.9933,0.7225,0.1731,0.12
openai,1536,3-2,french,ns,151,150,0.8678,0.7026,0.5033,0.5507,0.8533,0.6429,0.7881,0.18
openai,1536,3-2,french,ns_similar,151,150,0.486,0.8513,0.0066,0.5507,0.9933,0.7268,0.3775,0.3
openai,1536,3-2,french,ns_similar_nb,151,150,0.6647,0.8032,0.0331,0.5507,0.9533,0.6996,0.5232,0.2267
openai,1536,3-2,icao,ns,151,150,0.9551,0.7029,0.702,0.5548,0.82,0.6673,0.8675,0.0733
openai,1536,3-2,icao,ns_similar,151,150,0.6543,0.8277,0.0265,0.5548,0.9933,0.712,0.6623,0.4133
openai,1536,3-2,icao,ns_similar_nb,151,150,0.8147,0.8014,0.0927,0.5548,0.9533,0.7108,0.6755,0.16
openai,1536,3-2,lat,ns,150,150,0.9944,0.7047,0.96,0.6473,0.1733,0.6996,0.9667,0.0133
openai,1536,3-2,lat,ns_similar,150,150,0.8933,0.829,0.22,0.6473,0.8467,0.7463,0.8667,0.1733
openai,1536,3-2,lat,ns_similar_nb,150,150,0.9557,0.8007,0.4333,0.6473,0.5733,0.7191,0.94,0.12
openai,1536,3-2,rus_ukr,ns,156,150,0.7819,0.7021,0.2308,0.5416,0.8667,0.6337,0.6603,0.2267
openai,1536,3-2,rus_ukr,ns_similar,156,150,0.3077,0.8306,0.0064,0.5416,0.9933,0.5387,1.0,0.9933
openai,1536,3-2,rus_ukr,ns_similar_nb,156,150,0.4934,0.8076,0.0256,0.5416,0.9533,0.7412,0.1538,0.0667
openai,1536,3-3,french,ns,151,150,0.8627,0.7076,0.404,0.5154,0.9867,0.6457,0.7219,0.1133
openai,1536,3-3,french,ns_similar,151,150,0.5227,0.8562,0.0066,0.5154,1.0,0.7417,0.2914,0.1467
openai,1536,3-3,french,ns_similar_nb,151,150,0.6419,0.8035,0.053,0.5154,1.0,0.6641,0.6556,0.38
openai,1536,3-3,icao,ns,151,150,0.9575,0.7071,0.7417,0.5534,0.8333,0.6635,0.9007,0.0733
openai,1536,3-3,icao,ns_similar,151,150,0.7509,0.8376,0.0397,0.5534,1.0,0.7296,0.6358,0.2067
openai,1536,3-3,icao,ns_similar_nb,151,150,0.836,0.8033,0.1788,0.5534,1.0,0.7166,0.7152,0.1267
openai,1536,3-3,lat,ns,150,150,0.9966,0.7076,0.9667,0.655,0.1,0.708,0.9667,0.0
openai,1536,3-3,lat,ns_similar,150,150,0.9378,0.8358,0.3,0.655,0.68,0.7435,0.8867,0.14
openai,1536,3-3,lat,ns_similar_nb,150,150,0.9619,0.8042,0.54,0.655,0.4533,0.7253,0.9467,0.1133
openai,1536,3-3,rus_ukr,ns,156,150,0.7513,0.707,0.1538,0.5464,0.8533,0.6117,0.6859,0.2867
openai,1536,3-3,rus_ukr,ns_similar,156,150,0.2815,0.837,0.0064,0.5464,1.0,0.7924,0.0577,0.0267
openai,1536,3-3,rus_ukr,ns_similar_nb,156,150,0.4095,0.8042,0.0256,0.5464,1.0,0.7924,0.0577,0.02
openai,3072,3-2,french,ns,151,150,0.8698,0.6874,0.5364,0.5299,0.88,0.6421,0.7285,0.1133
openai,3072,3-2,french,ns_similar,151,150,0.4998,0.8423,0.0066,0.5299,0.9933,0.7179,0.3907,0.2933
openai,3072,3-2,french,ns_similar_nb,151,150,0.6733,0.7903,0.0397,0.5299,0.9533,0.7015,0.4636,0.1333
openai,3072,3-2,icao,ns,151,150,0.9583,0.6876,0.7152,0.5459,0.7733,0.6437,0.9338,0.1133
openai,3072,3-2,icao,ns_similar,151,150,0.6673,0.835,0.0199,0.5459,0.9867,0.707,0.6291,0.3467
openai,3072,3-2,icao,ns_similar_nb,151,150,0.8248,0.7903,0.1126,0.5459,0.9467,0.7001,0.6755,0.14
openai,3072,3-2,lat,ns,150,150,0.9959,0.7023,0.9533,0.6538,0.0867,0.68,0.98,0.0133
openai,3072,3-2,lat,ns_similar,150,150,0.9056,0.8187,0.26,0.6538,0.72,0.7395,0.8667,0.16
openai,3072,3-2,lat,ns_similar_nb,150,150,0.9618,0.7896,0.4667,0.6538,0.42,0.7176,0.9133,0.08
openai,3072,3-2,rus_ukr,ns,156,150,0.795,0.6871,0.2372,0.5348,0.8333,0.6197,0.6923,0.24
openai,3072,3-2,rus_ukr,ns_similar,156,150,0.3181,0.8208,0.0064,0.5348,0.9933,0.5348,1.0,0.9933
openai,3072,3-2,rus_ukr,ns_similar_nb,156,150,0.5057,0.7964,0.0256,0.5348,0.9533,0.7288,0.1538,0.0733
openai,3072,3-3,french,ns,151,150,0.8659,0.6961,0.4305,0.4977,0.9933,0.6315,0.7219,0.1133
openai,3072,3-3,french,ns_similar,151,150,0.5289,0.8501,0.0066,0.4977,1.0,0.7357,0.2781,0.1133
openai,3072,3-3,french,ns_similar_nb,151,150,0.65,0.7944,0.0596,0.4977,1.0,0.6696,0.5762,0.28
openai,3072,3-3,icao,ns,151,150,0.9635,0.6936,0.7483,0.5439,0.76,0.6553,0.9007,0.0667
openai,3072,3-3,icao,ns_similar,151,150,0.7645,0.8305,0.0331,0.5439,1.0,0.7064,0.7219,0.26
openai,3072,3-3,icao,ns_similar_nb,151,150,0.8474,0.7921,0.1854,0.5439,0.9933,0.7022,0.7351,0.14
openai,3072,3-3,lat,ns,150,150,0.9975,0.6941,0.9667,0.6632,0.0533,0.6742,0.9867,0.02
openai,3072,3-3,lat,ns_similar,150,150,0.9444,0.8311,0.3067,0.6632,0.5533,0.7362,0.9,0.1133
openai,3072,3-3,lat,ns_similar_nb,150,150,0.9677,0.7924,0.6067,0.6632,0.3333,0.7273,0.9333,0.0867
openai,3072,3-3,rus_ukr,ns,156,150,0.7765,0.697,0.1603,0.5381,0.8133,0.5821,0.8077,0.3667
openai,3072,3-3,rus_ukr,ns_similar,156,150,0.2932,0.8354,0.0064,0.5381,1.0,0.7793,0.0577,0.0333
openai,3072,3-3,rus_ukr,ns_similar_nb,156,150,0.4346,0.7937,0.0385,0.5381,1.0,0.7937,0.0385,0.0067
