model,dimension,query_set,positive_set,negative_set,negative_difficulty,n_pos,n_neg,auc,recall_at_fpr_0.001,recall_at_fpr_0.01,recall_at_fpr_0.05,recall_at_fpr_0.1,fpr_at_recall_0.99,fpr_at_recall_0.95,fpr_at_recall_0.9
gemini,3072,3-3,french,ns,easy,151,150,0.9976,0.9073,0.9536,0.9801,1.0,0.08,0.0067,0.0
gemini,3072,3-3,french,ns_similar,hard,151,150,0.9242,0.0596,0.0795,0.8344,0.8675,0.94,0.3933,0.1733
gemini,3072,3-3,french,ns_similar_nb,hard,151,150,0.9694,0.0927,0.3974,0.9205,0.9536,0.5333,0.1,0.0267
gemini,3072,3-3,icao,ns,easy,151,150,0.9998,0.9868,0.9934,1.0,1.0,0.0067,0.0,0.0
gemini,3072,3-3,icao,ns_similar,hard,151,150,0.9773,0.3311,0.3775,0.9536,0.9669,0.3,0.0333,0.02
gemini,3072,3-3,icao,ns_similar_nb,hard,151,150,0.9924,0.3974,0.8344,0.9868,0.9934,0.08,0.02,0.0133
gemini,3072,3-3,lat,ns,easy,150,150,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
gemini,3072,3-3,lat,ns_similar,hard,150,150,0.9995,0.9667,0.9733,1.0,1.0,0.02,0.0,0.0
gemini,3072,3-3,lat,ns_similar_nb,hard,150,150,0.9999,0.9867,1.0,1.0,1.0,0.0067,0.0,0.0
gemini,3072,3-3,rus_ukr,ns,easy,156,150,0.9941,0.8333,0.9295,0.9744,0.9872,0.1333,0.0267,0.0067
gemini,3072,3-3,rus_ukr,ns_similar,hard,156,150,0.8756,0.0192,0.0256,0.6026,0.7372,0.9933,0.7267,0.3067
gemini,3072,3-3,rus_ukr,ns_similar_nb,hard,156,150,0.9522,0.0321,0.1731,0.8654,0.9231,0.6867,0.24,0.0867
openai,768,3-2,french,ns,easy,151,150,0.8729,0.4768,0.4901,0.6093,0.6689,0.8467,0.6733,0.4133
openai,768,3-2,french,ns_similar,hard,151,150,0.4999,0.0,0.0,0.0596,0.1589,0.9933,0.96,0.92
openai,768,3-2,french,ns_similar_nb,hard,151,150,0.6783,0.0066,0.0464,0.2517,0.3576,0.9533,0.9,0.8067
openai,768,3-2,icao,ns,easy,151,150,0.9513,0.6821,0.702,0.8079,0.8543,0.8333,0.24,0.14
openai,768,3-2,icao,ns_similar,hard,151,150,0.6592,0.0,0.0066,0.2252,0.3046,0.9933,0.8667,0.76
openai,768,3-2,icao,ns_similar_nb,hard,151,150,0.8173,0.0199,0.1523,0.4238,0.5232,0.9533,0.6267,0.4933
openai,768,3-2,lat,ns,easy,150,150,0.996,0.9533,0.96,0.9733,0.9933,0.06,0.0,0.0
openai,768,3-2,lat,ns_similar,hard,150,150,0.8863,0.02,0.0667,0.5533,0.6933,0.6667,0.5067,0.3467
openai,768,3-2,lat,ns_similar_nb,hard,150,150,0.9554,0.16,0.46,0.84,0.8667,0.3733,0.1933,0.1267
openai,768,3-2,rus_ukr,ns,easy,156,150,0.8076,0.2244,0.2372,0.3718,0.4744,0.86,0.7133,0.5067
openai,768,3-2,rus_ukr,ns_similar,hard,156,150,0.344,0.0,0.0,0.0641,0.0962,0.9933,0.9733,0.9267
openai,768,3-2,rus_ukr,ns_similar_nb,hard,156,150,0.5434,0.0064,0.0449,0.141,0.1603,0.9533,0.9133,0.8267
openai,768,3-3,french,ns,easy,151,150,0.8574,0.3907,0.4702,0.6093,0.6556,0.9933,0.7333,0.48
openai,768,3-3,french,ns_similar,hard,151,150,0.5211,0.0132,0.0199,0.1391,0.2715,1.0,0.9933,0.9533
openai,768,3-3,french,ns_similar_nb,hard,151,150,0.6458,0.0728,0.0861,0.1589,0.3311,1.0,0.9933,0.9333
openai,768,3-3,icao,ns,easy,151,150,0.9588,0.7152,0.7616,0.8675,0.9007,0.8533,0.2267,0.0667
openai,768,3-3,icao,ns_similar,hard,151,150,0.7532,0.0331,0.0728,0.2848,0.5033,0.9933,0.8467,0.66
openai,768,3-3,icao,ns_similar_nb,hard,151,150,0.8447,0.1987,0.2185,0.3444,0.6291,0.9933,0.6733,0.3867
openai,768,3-3,lat,ns,easy,150,150,0.9967,0.9533,0.96,0.9867,0.9933,0.1,0.0,0.0
openai,768,3-3,lat,ns_similar,hard,150,150,0.934,0.18,0.38,0.66,0.8467,0.6867,0.28,0.14
openai,768,3-3,lat,ns_similar_nb,hard,150,150,0.9622,0.5267,0.5533,0.7267,0.94,0.44,0.12,0.0667
openai,768,3-3,rus_ukr,ns,easy,156,150,0.7694,0.1731,0.1923,0.3205,0.4038,0.8533,0.72,0.6067
openai,768,3-3,rus_ukr,ns_similar,hard,156,150,0.3116,0.0,0.0128,0.0641,0.0769,0.9933,0.9933,0.98
openai,768,3-3,rus_ukr,ns_similar_nb,hard,156,150,0.4485,0.0385,0.0513,0.0641,0.1154,0.9933,0.98,0.9667
openai,1536,3-2,french,ns,easy,151,150,0.8678,0.4503,0.5033,0.5828,0.6623,0.8533,0.64,0.4867
openai,1536,3-2,french,ns_similar,hard,151,150,0.486,0.0,0.0066,0.053,0.1325,0.9933,0.96,0.94
openai,1536,3-2,french,ns_similar_nb,hard,151,150,0.6647,0.0066,0.0331,0.1921,0.3775,0.9533,0.8933,0.84
openai,1536,3-2,icao,ns,easy,151,150,0.9551,0.6821,0.702,0.7881,0.8675,0.82,0.18,0.12
openai,1536,3-2,icao,ns_similar,hard,151,150,0.6543,0.0,0.0265,0.1722,0.2848,0.9933,0.86,0.7867
openai,1536,3-2,icao,ns_similar_nb,hard,151,150,0.8147,0.0199,0.0927,0.3709,0.5298,0.9533,0.6333,0.4867
openai,1536,3-2,lat,ns,easy,150,150,0.9944,0.9533,0.96,0.98,0.9867,0.1733,0.0,0.0
openai,1536,3-2,lat,ns_similar,hard,150,150,0.8933,0.0133,0.22,0.5467,0.7267,0.8467,0.4467,0.2867
openai,1536,3-2,lat,ns_similar_nb,hard,150,150,0.9557,0.1533,0.4333,0.8,0.9,0.5733,0.1867,0.0867
openai,1536,3-2,rus_ukr,ns,easy,156,150,0.7819,0.2051,0.2308,0.3333,0.4038,0.8667,0.7667,0.56
openai,1536,3-2,rus_ukr,ns_similar,hard,156,150,0.3077,0.0,0.0064,0.0449,0.0833,0.9933,0.9867,0.9467
openai,1536,3-2,rus_ukr,ns_similar_nb,hard,156,150,0.4934,0.0,0.0256,0.1154,0.1603,0.9533,0.9467,0.8733
openai,1536,3-3,french,ns,easy,151,150,0.8627,0.404,0.404,0.596,0.6954,0.9867,0.76,0.4867
openai,1536,3-3,french,ns_similar,hard,151,150,0.5227,0.0066,0.0066,0.1457,0.2384,1.0,1.0,0.9733
openai,1536,3-3,french,ns_similar_nb,hard,151,150,0.6419,0.0464,0.053,0.1457,0.3245,1.0,0.98,0.9333
openai,1536,3-3,icao,ns,easy,151,150,0.9575,0.7351,0.7417,0.8411,0.9073,0.8333,0.1867,0.0733
openai,1536,3-3,icao,ns_similar,hard,151,150,0.7509,0.0199,0.0397,0.3113,0.4305,1.0,0.8533,0.6267
openai,1536,3-3,icao,ns_similar_nb,hard,151,150,0.836,0.1722,0.1788,0.3113,0.6026,1.0,0.6667,0.38
openai,1536,3-3,lat,ns,easy,150,150,0.9966,0.9667,0.9667,0.9867,0.9933,0.1,0.0,0.0
openai,1536,3-3,lat,ns_similar,hard,150,150,0.9378,0.14,0.3,0.78,0.8333,0.68,0.3067,0.1733
openai,1536,3-3,lat,ns_similar_nb,hard,150,150,0.9619,0.54,0.54,0.78,0.92,0.4533,0.1267,0.0933
openai,1536,3-3,rus_ukr,ns,easy,156,150,0.7513,0.1474,0.1538,0.2436,0.359,0.8533,0.78,0.68
openai,1536,3-3,rus_ukr,ns_similar,hard,156,150,0.2815,0.0,0.0064,0.0641,0.0705,1.0,1.0,0.9867
openai,1536,3-3,rus_ukr,ns_similar_nb,hard,156,150,0.4095,0.0256,0.0256,0.0641,0.0962,1.0,0.9933,0.98
openai,3072,3-2,french,ns,easy,151,150,0.8698,0.457,0.5364,0.6291,0.6887,0.88,0.6133,0.4867
openai,3072,3-2,french,ns_similar,hard,151,150,0.4998,0.0,0.0066,0.0662,0.1457,0.9933,0.96,0.9467
openai,3072,3-2,french,ns_similar_nb,hard,151,150,0.6733,0.0066,0.0397,0.1788,0.3974,0.9533,0.9067,0.8267
openai,3072,3-2,icao,ns,easy,151,150,0.9583,0.6556,0.7152,0.8411,0.8874,0.7733,0.2133,0.1133
openai,3072,3-2,icao,ns_similar,hard,151,150,0.6673,0.0,0.0199,0.2119,0.3113,0.9867,0.86,0.7867
openai,3072,3-2,icao,ns_similar_nb,hard,151,150,0.8248,0.0199,0.1126,0.3775,0.5563,0.9467,0.6333,0.4867
openai,3072,3-2,lat,ns,easy,150,150,0.9959,0.9533,0.9533,0.9867,0.9933,0.0867,0.0,0.0
openai,3072,3-2,lat,ns_similar,hard,150,150,0.9056,0.02,0.26,0.6333,0.7533,0.72,0.3933,0.24
openai,3072,3-2,lat,ns_similar_nb,hard,150,150,0.9618,0.2,0.4667,0.82,0.92,0.42,0.1333,0.0733
openai,3072,3-2,rus_ukr,ns,easy,156,150,0.795,0.1859,0.2372,0.3654,0.4423,0.8333,0.6933,0.52
openai,3072,3-2,rus_ukr,ns_similar,hard,156,150,0.3181,0.0,0.0064,0.0513,0.0833,0.9933,0.9667,0.9467
openai,3072,3-2,rus_ukr,ns_similar_nb,hard,156,150,0.5057,0.0,0.0256,0.1154,0.1603,0.9533,0.92,0.84
openai,3072,3-3,french,ns,easy,151,150,0.8659,0.4172,0.4305,0.5894,0.6887,0.9933,0.7467,0.4467
openai,3072,3-3,french,ns_similar,hard,151,150,0.5289,0.0066,0.0066,0.1589,0.2517,1.0,1.0,0.96
openai,3072,3-3,french,ns_similar_nb,hard,151,150,0.65,0.0464,0.0596,0.1722,0.3311,1.0,0.9933,0.92
openai,3072,3-3,icao,ns,easy,151,150,0.9635,0.7417,0.7483,0.8477,0.9205,0.76,0.2,0.0667
openai,3072,3-3,icao,ns_similar,hard,151,150,0.7645,0.0199,0.0331,0.351,0.4371,1.0,0.86,0.6133
openai,3072,3-3,icao,ns_similar_nb,hard,151,150,0.8474,0.1656,0.1854,0.3841,0.6291,0.9933,0.6733,0.3533
openai,3072,3-3,lat,ns,easy,150,150,0.9975,0.96,0.9667,0.9867,0.9933,0.0533,0.0,0.0
openai,3072,3-3,lat,ns_similar,hard,150,150,0.9444,0.1333,0.3067,0.7933,0.8667,0.5533,0.22,0.1133
openai,3072,3-3,lat,ns_similar_nb,hard,150,150,0.9677,0.5533,0.6067,0.7933,0.94,0.3333,0.1133,0.08
openai,3072,3-3,rus_ukr,ns,easy,156,150,0.7765,0.1474,0.1603,0.2564,0.3654,0.8133,0.7,0.6
openai,3072,3-3,rus_ukr,ns_similar,hard,156,150,0.2932,0.0,0.0064,0.0577,0.0705,1.0,0.9867,0.9867
openai,3072,3-3,rus_ukr,ns_similar_nb,hard,156,150,0.4346,0.0192,0.0385,0.0705,0.1026,1.0,0.9867,0.9733
